iter	RMSE
0	79308.04804
1	77818.46217
2	76332.17832
3	74879.77994
4	73550.30182
5	72360.1838
6	71059.24623
7	69794.71907
8	68577.7284
9	67414.34042
10	66378.90911
11	65293.82134
12	64132.6214
13	63185.55877
14	62154.60412
15	61253.10246
16	60328.59388
17	59466.57323
18	58605.19084
19	57691.04653
20	56891.65489
21	56099.38413
22	55352.98829
23	54557.2463
24	53755.566
25	53123.26524
26	52491.69553
27	51742.40398
28	51071.86084
29	50374.81219
30	49771.6088
31	49160.45401
32	48502.47553
33	47905.07661
34	47396.08656
35	46837.74863
36	46262.29509
37	45796.97399
38	45260.92517
39	44752.36033
40	44248.50819
41	43794.91015
42	43345.89317
43	42952.06713
44	42520.23696
45	42135.37037
46	41775.39395
47	41454.41375
48	41043.18096
49	40629.163
50	40259.87863
51	39911.76061
52	39571.77474
53	39221.6512
54	38877.66078
55	38535.64613
56	38288.42295
57	37996.47616
58	37719.06692
59	37470.70352
60	37199.75352
61	36938.33211
62	36702.93274
63	36482.33267
64	36239.73186
65	35967.61318
66	35901.14718
67	35705.51674
68	35477.02542
69	35276.91742
70	34983.14493
71	34778.96192
72	34640.22218
73	34459.27783
74	34412.89139
75	34224.45009
76	34049.63979
77	33816.19863
78	33636.5168
79	33414.92433
80	33247.42087
81	33097.48282
82	32920.47119
83	32761.73874
84	32589.09082
85	32509.4517
86	32349.78005
87	32282.75349
88	32111.35419
89	31989.74382
90	31828.80302
91	31654.40753
92	31529.98243
93	31493.66611
94	31376.08572
95	31221.36581
96	31107.62697
97	30959.53133
98	30924.8198
99	30781.44507
100	30702.03195
101	30665.65942
102	30554.14242
103	30342.23529
104	30178.75385
105	30003.68127
106	29861.26671
107	29798.69719
108	29727.0115
109	29566.93161
110	29512.16277
111	29370.78054
112	29266.16352
113	29156.2073
114	28986.83415
115	28955.34694
116	28890.55609
117	28761.51088
118	28619.09898
119	28589.04185
120	28502.98443
121	28376.20148
122	28352.14763
123	28328.48446
124	28185.23503
125	28093.51935
126	28070.41079
127	27917.65992
128	27779.20717
129	27702.24337
130	27627.88921
131	27509.56597
132	27434.90862
133	27319.67424
134	27232.44549
135	27138.34313
136	27036.54362
137	26968.71455
138	26945.87442
139	26895.01677
140	26817.11422
141	26737.01356
142	26617.2304
143	26560.05536
144	26519.12081
145	26443.69343
146	26401.99962
147	26310.96007
148	26232.75743
149	26161.7635
150	26062.84335
151	26034.25779
152	25986.97447
153	25954.7744
154	25917.0833
155	25898.3328
156	25826.4457
157	25808.51646
158	25690.11012
159	25639.97968
160	25598.49939
161	25549.41444
162	25505.28699
163	25447.89542
164	25356.13151
165	25307.79646
166	25275.79498
167	25196.22189
168	25123.71966
169	25088.62434
170	25025.77197
171	24966.82534
172	24928.26629
173	24911.41524
174	24836.56999
175	24819.83817
176	24766.88135
177	24686.63896
178	24664.39055
179	24584.63176
180	24557.84157
181	24501.84919
182	24464.41022
183	24408.13521
184	24394.02086
185	24338.42735
186	24286.59019
187	24264.13914
188	24204.94634
189	24141.54642
190	24087.44777
191	24053.60491
192	23986.44524
193	23936.69882
194	23880.12648
195	23856.24507
196	23807.47342
197	23738.86608
198	23713.71783
199	23695.91558
200	23673.19685
201	23611.14032
202	23544.78277
203	23495.13438
204	23450.01857
205	23393.44335
206	23342.22213
207	23262.98463
208	23184.65761
209	23135.80518
210	23089.89317
211	23040.26493
212	22955.74146
213	22889.67806
214	22823.75636
215	22808.44004
216	22783.35094
217	22764.12452
218	22721.27207
219	22706.57868
220	22652.58074
221	22623.53508
222	22582.97796
223	22521.30928
224	22478.37271
225	22441.55425
226	22354.98225
227	22315.77502
228	22276.0513
229	22263.0509
230	22248.76492
231	22200.02402
232	22122.00252
233	22094.62435
234	22065.54436
235	22020.73521
236	21969.49348
237	21941.72184
238	21900.55968
239	21856.80005
240	21839.61504
241	21786.65275
242	21759.76904
243	21730.6165
244	21679.65738
245	21669.07753
246	21638.14769
247	21616.54787
248	21585.61913
249	21547.95912
250	21492.46682
251	21467.63822
252	21448.8401
253	21437.62008
254	21427.75718
255	21411.61392
256	21378.15078
257	21347.55141
258	21329.73146
259	21291.60352
260	21278.536
261	21242.34896
262	21228.6151
263	21219.05822
264	21181.53829
265	21135.94511
266	21095.59203
267	21049.86806
268	21033.50304
269	21016.98706
270	21007.22101
271	20998.91865
272	20983.01306
273	20935.05001
274	20915.55351
275	20878.21132
276	20837.82141
277	20801.13797
278	20768.81443
279	20712.44392
280	20681.47325
281	20666.68038
282	20641.72149
283	20626.93972
284	20612.91373
285	20570.55922
286	20560.44559
287	20546.33626
288	20535.61461
289	20514.47682
290	20506.05482
291	20492.56812
292	20479.47006
293	20446.6512
294	20436.48418
295	20429.92099
296	20417.31393
297	20380.16498
298	20367.59366
299	20355.6629
300	20327.49615
301	20315.79313
302	20307.8361
303	20278.21521
304	20249.21436
305	20238.05226
306	20209.69624
307	20203.91839
308	20178.84162
309	20167.3082
310	20161.15854
311	20145.30699
312	20126.71407
313	20106.42332
314	20096.01381
315	20090.65135
316	20064.99038
317	20037.50282
318	20012.27345
319	20002.59341
320	19972.54885
321	19949.50351
322	19927.6154
323	19922.54457
324	19897.70254
325	19860.60754
326	19832.99197
327	19818.99262
328	19802.56748
329	19779.20161
330	19762.91961
331	19739.21414
332	19733.40837
333	19724.07915
334	19698.75433
335	19668.15812
336	19658.72617
337	19639.05665
338	19630.28561
339	19617.7067
340	19609.31009
341	19588.73967
342	19563.25343
343	19554.56974
344	19532.64454
345	19524.14748
346	19505.00918
347	19471.02006
348	19450.18265
349	19441.93493
350	19430.13251
351	19422.13169
352	19407.25773
353	19383.54188
354	19375.635
355	19347.77486
356	19338.61862
357	19307.12384
358	19289.89649
359	19268.30453
360	19249.11022
361	19228.09457
362	19197.6501
363	19190.32121
364	19169.25253
365	19147.80595
366	19141.57239
367	19129.89615
368	19109.15996
369	19102.77288
370	19083.33147
371	19067.09679
372	19059.24815
373	19043.76691
374	19020.67128
375	19001.15865
376	18978.0598
377	18960.66729
378	18948.8657
379	18934.94204
380	18922.22705
381	18913.22851
382	18892.31123
383	18874.15261
384	18855.53011
385	18840.93006
386	18823.16547
387	18820.23362
388	18799.87804
389	18779.8769
390	18767.01572
391	18743.74077
392	18725.49127
393	18707.62959
394	18699.12184
395	18671.54372
396	18656.73306
397	18637.05696
398	18617.74996
399	18603.43308
400	18590.7595
401	18589.39594
402	18575.98484
403	18556.16336
404	18548.36908
405	18535.05591
406	18525.4449
407	18520.76576
408	18513.72842
409	18498.66688
410	18488.75665
411	18476.9643
412	18464.81825
413	18448.81154
414	18444.34389
415	18428.25973
416	18419.88145
417	18415.40281
418	18395.67511
419	18394.19874
420	18392.87559
421	18377.08961
422	18364.20907
423	18355.87599
424	18348.08868
425	18346.64383
426	18345.96304
