iter	Passed	Remaining
0	2	2766
1	4	2442
2	6	2114
3	7	1991
4	9	1873
5	10	1811
6	12	1752
7	14	1765
8	15	1734
9	17	1704
10	18	1684
11	20	1712
12	22	1688
13	23	1678
14	25	1677
15	27	1667
16	28	1649
17	29	1633
18	31	1628
19	33	1622
20	34	1616
21	36	1608
22	37	1596
23	39	1589
24	40	1584
25	42	1581
26	43	1580
27	45	1578
28	47	1583
29	48	1581
30	50	1577
31	52	1575
32	53	1567
33	55	1563
34	56	1559
35	57	1552
36	59	1559
37	61	1550
38	63	1561
39	65	1560
40	66	1557
41	68	1552
42	69	1545
43	71	1542
44	73	1550
45	74	1546
46	76	1545
47	77	1542
48	79	1536
49	80	1535
50	82	1532
51	84	1534
52	85	1530
53	87	1526
54	88	1521
55	90	1521
56	91	1520
57	93	1515
58	95	1515
59	96	1510
60	97	1505
61	100	1513
62	101	1511
63	103	1507
64	104	1507
65	106	1507
66	107	1503
67	109	1498
68	111	1498
69	112	1497
70	114	1495
71	116	1502
72	118	1506
73	120	1503
74	120	1488
75	122	1485
76	123	1483
77	125	1478
78	126	1477
79	128	1474
80	129	1473
81	131	1470
82	133	1474
83	135	1477
84	136	1474
85	138	1473
86	140	1477
87	142	1475
88	144	1476
89	146	1479
90	148	1478
91	150	1482
92	151	1478
93	152	1467
94	153	1466
95	155	1463
96	156	1461
97	158	1456
98	159	1453
99	161	1452
100	162	1449
101	163	1441
102	166	1445
103	167	1445
104	169	1443
105	171	1442
106	172	1443
107	174	1443
108	176	1442
109	178	1443
110	180	1441
111	181	1442
112	183	1440
113	184	1437
114	186	1435
115	187	1430
116	189	1431
117	191	1430
118	192	1428
119	194	1425
120	196	1424
121	197	1421
122	198	1413
123	198	1403
124	200	1402
125	201	1399
126	202	1393
127	204	1394
128	206	1392
129	207	1390
130	209	1388
131	210	1385
132	212	1383
133	214	1385
134	216	1384
135	218	1385
136	219	1383
137	221	1380
138	222	1375
139	223	1373
140	225	1370
141	226	1370
142	228	1368
143	229	1365
144	230	1360
145	232	1358
146	233	1354
147	234	1351
148	236	1349
149	238	1349
150	239	1347
151	241	1345
152	242	1344
153	244	1343
154	246	1342
155	247	1340
156	249	1338
157	250	1336
158	252	1334
159	254	1334
160	255	1332
161	257	1329
162	258	1327
163	260	1326
164	261	1323
165	263	1321
166	264	1316
167	265	1314
168	266	1311
169	268	1310
170	269	1308
171	271	1305
172	272	1304
173	274	1302
174	276	1302
175	277	1300
176	279	1298
177	280	1296
178	282	1294
179	283	1292
180	285	1289
181	287	1291
182	289	1290
183	290	1289
184	292	1287
185	293	1285
186	295	1286
187	297	1287
188	299	1287
189	301	1287
190	303	1287
191	305	1285
192	307	1285
193	309	1284
194	311	1284
195	313	1284
196	315	1284
197	317	1284
198	319	1284
199	320	1282
200	322	1280
201	323	1279
202	325	1279
203	327	1278
204	329	1278
205	331	1278
206	333	1276
207	335	1275
208	337	1276
209	339	1276
210	341	1275
211	342	1273
212	344	1273
213	346	1272
214	348	1271
215	350	1270
216	351	1269
217	353	1267
218	354	1265
219	357	1266
220	359	1267
221	361	1267
222	363	1267
223	365	1267
224	367	1266
225	370	1267
226	371	1266
227	373	1264
228	375	1263
229	376	1261
230	378	1259
231	380	1259
232	382	1258
233	384	1257
234	386	1256
235	387	1255
236	389	1254
237	391	1253
238	393	1253
239	395	1251
240	397	1250
241	399	1250
242	401	1249
243	402	1247
244	404	1246
245	406	1245
246	408	1244
247	409	1242
248	411	1241
249	413	1239
250	414	1237
251	416	1236
252	418	1234
253	419	1233
254	421	1232
255	423	1230
256	425	1229
257	426	1227
258	428	1226
259	430	1225
260	432	1224
261	434	1223
262	435	1221
263	438	1221
264	440	1220
265	441	1219
266	443	1216
267	445	1215
268	446	1213
269	448	1211
270	449	1209
271	451	1207
272	452	1206
273	455	1205
274	456	1203
275	458	1201
276	460	1201
277	462	1199
278	464	1199
279	465	1197
280	467	1196
281	469	1195
282	471	1194
283	473	1193
284	474	1191
285	476	1190
286	478	1187
287	480	1187
288	481	1184
289	483	1183
290	484	1181
291	486	1179
292	488	1177
293	489	1175
294	491	1174
295	493	1172
296	494	1170
297	496	1169
298	497	1167
299	500	1167
300	501	1165
301	503	1163
302	505	1161
303	506	1160
304	508	1158
305	509	1156
306	511	1155
307	513	1154
308	515	1152
309	518	1152
310	519	1150
311	520	1148
312	522	1146
313	524	1145
314	525	1143
315	527	1142
316	529	1140
317	531	1139
318	532	1137
319	535	1137
320	536	1135
321	538	1133
322	539	1131
323	541	1128
324	542	1126
325	544	1125
326	545	1123
327	547	1121
328	548	1119
329	550	1116
330	551	1115
331	554	1115
332	555	1112
333	557	1110
334	558	1108
335	560	1107
336	562	1106
337	564	1104
338	565	1103
339	567	1101
340	568	1099
341	570	1097
342	572	1097
343	575	1097
344	576	1095
345	578	1094
346	580	1092
347	582	1091
348	584	1090
349	586	1089
350	587	1086
351	589	1084
352	590	1082
353	592	1081
354	594	1079
355	595	1077
356	597	1076
357	599	1074
358	600	1072
359	602	1070
360	603	1068
361	605	1066
362	606	1065
363	608	1063
364	610	1061
365	611	1059
366	613	1057
367	614	1055
368	616	1053
369	617	1051
370	619	1050
371	621	1049
372	623	1047
373	624	1046
374	626	1044
375	628	1043
376	630	1041
377	632	1040
378	633	1038
379	635	1036
380	636	1034
381	638	1032
382	640	1032
383	642	1030
384	643	1028
385	645	1026
386	646	1024
387	648	1022
388	649	1020
389	651	1018
390	653	1017
391	654	1015
392	656	1013
393	657	1011
394	659	1010
395	661	1008
396	662	1006
397	665	1006
398	667	1005
399	669	1003
400	670	1001
401	672	999
402	673	997
403	675	995
404	676	993
405	678	992
406	680	991
407	682	990
408	684	988
409	685	986
410	687	984
411	688	982
412	690	981
413	692	979
414	693	977
415	694	975
416	696	973
417	697	971
418	699	969
419	700	967
420	702	965
421	703	963
422	705	961
423	707	961
424	709	959
425	710	957
426	712	955
427	713	953
428	715	952
429	716	950
430	718	948
431	719	945
432	720	943
433	721	941
434	723	939
435	724	937
436	725	935
437	727	933
438	728	930
439	729	928
440	731	926
441	732	924
442	734	923
443	736	922
444	737	920
445	739	918
446	740	916
447	742	915
448	743	913
449	745	910
450	746	908
451	747	906
452	749	904
453	750	902
454	751	900
455	753	898
456	754	897
457	756	895
458	758	893
459	759	891
460	761	890
461	763	888
462	764	887
463	766	885
464	769	884
465	770	883
466	772	881
467	773	879
468	774	877
469	776	875
470	778	873
471	779	872
472	781	870
473	782	868
474	784	867
475	786	865
476	788	864
477	789	862
478	791	860
479	792	858
480	794	857
481	795	855
482	797	853
483	798	850
484	799	848
485	800	846
486	802	845
487	804	844
488	806	842
489	808	841
490	809	839
491	811	838
492	813	836
493	814	834
494	816	833
495	818	831
496	819	829
497	820	827
498	822	825
499	823	823
500	825	822
501	827	820
502	828	818
503	829	816
504	831	815
505	832	812
506	834	811
507	835	809
508	837	807
509	838	805
510	840	804
511	841	802
512	843	800
513	844	798
514	845	796
515	847	794
516	849	793
517	850	791
518	851	789
519	853	787
520	854	786
521	856	783
522	857	782
523	858	780
524	860	778
525	861	776
526	863	775
527	864	773
528	866	771
529	868	769
530	869	768
531	871	766
532	872	764
533	874	762
534	875	761
535	876	758
536	878	757
537	879	755
538	881	753
539	882	751
540	884	750
541	885	748
542	887	746
543	889	745
544	891	743
545	892	742
546	894	740
547	896	739
548	897	737
549	899	735
550	900	733
551	902	732
552	903	730
553	905	729
554	907	727
555	908	725
556	909	723
557	911	721
558	912	720
559	914	718
560	916	716
561	917	715
562	919	713
563	920	711
564	922	710
565	924	708
566	925	706
567	927	705
568	929	704
569	931	702
570	933	701
571	934	699
572	936	697
573	937	695
574	938	694
575	940	692
576	942	690
577	944	689
578	946	687
579	947	686
580	949	684
581	951	683
582	953	681
583	955	680
584	956	678
585	958	676
586	960	675
587	961	674
588	963	672
589	965	670
590	967	669
591	968	667
592	970	665
593	971	664
594	973	662
595	974	660
596	976	659
597	979	658
598	980	656
599	982	654
600	983	653
601	985	651
602	986	649
603	988	647
604	989	645
605	990	643
606	991	642
607	993	640
608	994	638
609	996	637
610	997	635
611	999	633
612	1001	632
613	1002	630
614	1004	628
615	1005	627
616	1007	625
617	1009	623
618	1010	621
619	1011	620
620	1013	618
621	1015	616
622	1016	615
623	1018	613
624	1019	611
625	1021	610
626	1022	608
627	1023	606
628	1025	604
629	1027	603
630	1028	601
631	1030	599
632	1031	598
633	1033	596
634	1034	594
635	1035	592
636	1037	590
637	1038	589
638	1040	587
639	1041	585
640	1043	584
641	1045	583
642	1047	581
643	1048	579
644	1050	577
645	1052	576
646	1053	574
647	1054	573
648	1056	571
649	1058	569
650	1059	567
651	1061	566
652	1062	564
653	1064	563
654	1066	561
655	1067	559
656	1069	558
657	1070	556
658	1072	555
659	1074	553
660	1075	551
661	1076	549
662	1079	548
663	1080	546
664	1082	545
665	1084	543
666	1085	542
667	1087	540
668	1088	538
669	1090	537
670	1092	535
671	1093	533
672	1095	532
673	1096	530
674	1097	528
675	1099	527
676	1101	525
677	1102	523
678	1104	522
679	1106	520
680	1107	518
681	1109	517
682	1110	515
683	1112	513
684	1113	512
685	1114	510
686	1116	508
687	1117	506
688	1119	505
689	1120	503
690	1121	501
691	1123	500
692	1125	498
693	1126	496
694	1128	495
695	1129	493
696	1131	491
697	1132	490
698	1134	488
699	1136	487
700	1138	485
701	1140	484
702	1141	482
703	1143	480
704	1145	479
705	1146	477
706	1148	475
707	1150	474
708	1151	472
709	1153	471
710	1155	469
711	1156	467
712	1159	466
713	1161	465
714	1163	463
715	1164	462
716	1166	460
717	1167	458
718	1170	457
719	1171	455
720	1173	454
721	1175	452
722	1176	450
723	1178	449
724	1179	447
725	1181	445
726	1183	444
727	1184	442
728	1186	441
729	1188	439
730	1190	437
731	1191	436
